Product Category,Region,Sales
Furniture,West,291.56
Technology,West,158.27
Technology,West,647.07
Office Supplies,West,83.01
Furniture,West,1396.96
Office Supplies,Central,490.76
Office Supplies,Central,97.85
Technology,South,94.62
Furniture,South,368.39
Technology,Central,21.16
Office Supplies,Central,88.13
Office Supplies,Central,137.42
Technology,Central,213.02
Technology,Central,331.97
Office Supplies,Central,64.91
Office Supplies,Central,15.42
Office Supplies,Central,69.4
Technology,Central,567.71
Technology,Central,208.12
Technology,Central,763.2
Office Supplies,Central,16.64
Office Supplies,Central,63.9
Furniture,Central,2297.23
Technology,West,627.04
Technology,West,548.06
Furniture,West,129.57
Technology,West,3267.55
Office Supplies,West,110.19
Office Supplies,West,33.56
Furniture,East,666.63
Furniture,East,814.6
Furniture,East,34.15
Furniture,East,761.52
Office Supplies,East,73.55
Office Supplies,East,29.57
Office Supplies,East,109.64
Office Supplies,East,68.79
Office Supplies,East,40.94
Technology,East,311.98
Office Supplies,East,7668.79
Technology,East,1941.74
Office Supplies,East,120.64
Office Supplies,Central,51.56
Office Supplies,Central,17.24
Office Supplies,Central,45.57
Furniture,Central,750.94
Office Supplies,Central,394.4
Office Supplies,Central,65.22
Office Supplies,Central,56.72
Furniture,Central,195.63
Furniture,Central,2292.34
Office Supplies,Central,125.92
Office Supplies,Central,36.4
Office Supplies,Central,98.33
Technology,Central,333.6
Technology,Central,670.73
Office Supplies,Central,22.85
Office Supplies,Central,506.39
Office Supplies,Central,17.55
Office Supplies,Central,439.92
Office Supplies,Central,207.91
Office Supplies,Central,1001.91
Technology,Central,700.58
Furniture,Central,7.98
Technology,Central,724.13
Office Supplies,South,4
Technology,South,589.8
Furniture,South,461.69
Technology,South,1062.84
Technology,West,2395.13
Office Supplies,West,2104.26
Office Supplies,West,138.23
Office Supplies,West,1225.6
Furniture,West,309.77
Furniture,West,1139.49
Office Supplies,West,3129.76
Office Supplies,West,21.27
Furniture,East,1239.06
Furniture,East,4083.19
Office Supplies,East,4902.38
Furniture,East,5718.85
Technology,East,9764.76
Office Supplies,East,8567.34
Technology,East,7340.38
Office Supplies,East,11823.52
Office Supplies,East,80.81
Office Supplies,East,571.35
Technology,East,1835.09
Furniture,East,1400.53
Office Supplies,East,120.07
Office Supplies,East,526.36
Office Supplies,East,147.26
Technology,East,323.34
Technology,East,763.15
Office Supplies,East,64.83
Furniture,East,45.11
Furniture,West,1334.94
Office Supplies,West,65.23
Office Supplies,West,552.43
Furniture,West,1284.24
Furniture,West,774.87
Office Supplies,West,211.52
Technology,West,769.09
Office Supplies,West,122.49
Office Supplies,West,15.51
Furniture,East,1821.89
Office Supplies,East,90.09
Office Supplies,East,46.85
Furniture,East,160.31
Furniture,East,90.98
Office Supplies,East,10728
Office Supplies,East,4191.68
Office Supplies,East,364.04
Office Supplies,East,35.01
Office Supplies,East,16.45
Furniture,East,1274.79
Furniture,East,2870.26
Furniture,East,2723.95
Office Supplies,East,4523.17
Office Supplies,West,3127.69
Office Supplies,West,41.82
Furniture,West,2875.72
Furniture,West,247.57
Technology,East,462.34
Office Supplies,West,340.42
Office Supplies,West,170.8
Office Supplies,West,53.54
Technology,West,3363.53
Technology,West,307.29
Office Supplies,West,373.01
Furniture,West,13.66
Office Supplies,West,314.17
Office Supplies,South,132.08
Office Supplies,South,45.34
Office Supplies,South,216.04
Office Supplies,South,48.43
Technology,South,503.04
Office Supplies,South,120.26
Office Supplies,South,157.73
Office Supplies,South,30.01
Furniture,South,3782.29
Technology,South,148.67
Furniture,Central,6276.34
Technology,Central,2664.4
Technology,Central,763.65
Office Supplies,Central,118.36
Office Supplies,Central,430.42
Technology,Central,926.92
Technology,Central,1650.19
Office Supplies,Central,419.23
Office Supplies,Central,1449.3
Technology,Central,4374.69
Technology,Central,4283.24
Office Supplies,Central,402.74
Technology,Central,8396.02
Furniture,Central,1838
Technology,Central,224.71
Office Supplies,Central,362.33
Technology,Central,1119.11
Technology,Central,1070.81
Office Supplies,Central,93.97
Technology,Central,412.55
Office Supplies,Central,100.62
Technology,Central,190.91
Furniture,Central,1526.68
Technology,Central,1952.56
Office Supplies,Central,107.61
Technology,Central,711.72
Furniture,Central,459.5
Office Supplies,Central,27.85
Office Supplies,East,42.07
Technology,East,228.27
Technology,East,303.59
Technology,East,1535.05
Furniture,East,9459.94
Technology,East,1233.32
Office Supplies,East,47.31
Office Supplies,East,1356.45
Office Supplies,East,250.75
Technology,East,313.05
Office Supplies,East,161.28
Office Supplies,East,200.7
Office Supplies,East,164.22
Office Supplies,East,135.91
Office Supplies,East,470.11
Technology,East,684.66
Technology,East,6258.27
Technology,East,821.79
Technology,East,5634.35
Office Supplies,East,329.95
Office Supplies,East,57.87
Technology,East,80.79
Office Supplies,East,41.06
Furniture,East,2441.27
Office Supplies,East,117.53
Office Supplies,East,11.13
Office Supplies,East,48.44
Technology,East,1491.45
Technology,East,168.53
Office Supplies,East,32.62
Office Supplies,West,29.5
Office Supplies,West,58.33
Office Supplies,West,20.42
Office Supplies,West,47.86
Technology,West,26.07
Technology,West,1155.3
Furniture,West,452.93
Technology,West,275.01
Office Supplies,West,47.63
Office Supplies,West,5.1
Office Supplies,West,122.23
Office Supplies,West,228.46
Office Supplies,West,77.61
Technology,West,99.94
Furniture,West,1358.78
Technology,West,5006.28
Office Supplies,West,18.7
Technology,West,1191.73
Office Supplies,West,190.52
Office Supplies,West,191.42
Office Supplies,West,405.56
Office Supplies,West,441.08
Office Supplies,West,86.17
Technology,West,366.1
Office Supplies,West,15.27
Office Supplies,West,59.85
Technology,West,1708.73
Office Supplies,West,116.54
Furniture,West,1578.9
Office Supplies,West,63.48
Technology,West,495.54
Office Supplies,West,315.85
Technology,West,26.28
Office Supplies,West,160.29
Technology,West,1006.9
Office Supplies,South,94.97
Office Supplies,South,468.69
Office Supplies,Central,195.71
Office Supplies,Central,12.47
Office Supplies,Central,18.33
Office Supplies,Central,72.17
Office Supplies,Central,15.13
Technology,Central,941.17
Office Supplies,Central,503.96
Furniture,Central,10.23
Office Supplies,Central,217.23
Office Supplies,Central,4648.35
Office Supplies,Central,19.53
Technology,Central,331.7
Technology,Central,171.71
Office Supplies,West,147.5
Furniture,West,145.57
Office Supplies,West,212.91
Office Supplies,West,1166.27
Furniture,West,364.43
Office Supplies,West,225.04
Technology,West,116.28
Technology,West,5972.59
Office Supplies,West,101.74
Office Supplies,West,84.52
Office Supplies,West,52.97
Office Supplies,West,134.75
Office Supplies,East,126.47
Office Supplies,East,190.8
Technology,East,30.28
Office Supplies,West,20.45
Office Supplies,West,135.14
Office Supplies,East,312.59
Office Supplies,East,24.27
Office Supplies,East,64.4
Office Supplies,East,14.65
Furniture,East,453.62
Office Supplies,East,35.71
Office Supplies,East,105.88
Office Supplies,East,34.27
Furniture,Central,193.59
Furniture,Central,929.57
Office Supplies,Central,1212.76
Office Supplies,Central,430.28
Office Supplies,Central,31.38
Furniture,Central,104.4
Technology,East,12.98
Office Supplies,East,61.03
Office Supplies,East,151.29
Technology,South,62.46
Office Supplies,South,28.11
Office Supplies,South,139.34
Furniture,South,227
Office Supplies,South,62.12
Office Supplies,South,5.5
Furniture,South,667.84
Technology,South,292.23
Technology,South,772.56
Technology,South,993.98
Technology,South,262.76
Technology,South,1053.61
Office Supplies,South,94.12
Office Supplies,South,120.96
Office Supplies,South,189.79
Office Supplies,South,7.08
Office Supplies,South,341.74
Office Supplies,South,175.65
Office Supplies,South,3772.71
Office Supplies,South,489.72
Technology,West,1050.08
Office Supplies,West,33.82
Office Supplies,West,83.6
Technology,West,218.36
Office Supplies,West,1038.84
Office Supplies,West,8.36
Office Supplies,West,16.64
Office Supplies,Central,163.56
Office Supplies,Central,572.19
Office Supplies,Central,47.89
Office Supplies,Central,115.48
Technology,Central,79.52
Furniture,Central,86.93
Office Supplies,Central,519.48
Office Supplies,West,990.83
Furniture,West,575.69
Office Supplies,West,22.78
Furniture,West,6031.88
Office Supplies,West,179.68
Technology,West,693.22
Furniture,West,715.55
Office Supplies,West,45.63
Office Supplies,West,143.7
Office Supplies,West,23.87
Furniture,West,1259
Technology,South,1839.91
Office Supplies,South,46.5
Technology,South,486.81
Technology,South,89.17
Office Supplies,South,580.89
Office Supplies,South,287.97
Office Supplies,South,89.08
Technology,South,130.62
Technology,South,6945.16
Office Supplies,South,30.94
Furniture,South,1838.82
Technology,South,85.1
Office Supplies,South,13.92
Office Supplies,East,173.18
Office Supplies,East,3.42
Technology,Central,120.87
Office Supplies,Central,37.83
Office Supplies,Central,57.34
Office Supplies,Central,15.99
Furniture,West,487.27
Office Supplies,West,151.22
Office Supplies,Central,7.79
Office Supplies,Central,34.84
Office Supplies,Central,339.34
Office Supplies,Central,768.87
Office Supplies,Central,90.68
Technology,Central,519.3
Office Supplies,South,167.25
Furniture,South,80.43
Office Supplies,South,54.01
Office Supplies,South,1146.03
Office Supplies,South,572.18
Furniture,South,748.42
Office Supplies,Central,2111.33
Furniture,Central,5731.02
Furniture,Central,2854.42
Technology,West,901.81
Office Supplies,West,186.59
Office Supplies,West,345.69
Technology,West,2383.74
Office Supplies,West,49.43
Office Supplies,West,125.43
Office Supplies,West,933.07
Furniture,West,9095.8
Office Supplies,East,31.36
Furniture,East,2324.48
Technology,East,250.5
Office Supplies,East,11.41
Technology,East,794.58
Office Supplies,East,94.28
Office Supplies,Central,221.24
Office Supplies,Central,46.65
Office Supplies,Central,164.71
Office Supplies,Central,79.68
Office Supplies,Central,53.26
Technology,Central,203.49
Technology,Central,2356.01
Technology,Central,74.82
Office Supplies,Central,158.33
Technology,West,224.12
Office Supplies,West,140.3
Office Supplies,West,28.2
Office Supplies,West,71.55
Furniture,West,297.37
Office Supplies,West,142.35
Furniture,West,2443.57
Technology,West,3597.63
Office Supplies,West,33.01
Office Supplies,West,28.22
Office Supplies,Central,16.52
Technology,Central,161.75
Office Supplies,Central,91.31
Office Supplies,Central,3108.98
Office Supplies,Central,54.53
Office Supplies,Central,94.52
Office Supplies,Central,81.45
Furniture,Central,493.14
Office Supplies,Central,12599.55
Technology,Central,606.56
Office Supplies,Central,325.81
Office Supplies,Central,57.81
Office Supplies,Central,204.49
Office Supplies,Central,383.98
Furniture,Central,2095.83
Office Supplies,Central,352.2
Technology,West,91.78
Office Supplies,West,120.36
Office Supplies,West,27.19
Office Supplies,West,262.13
Office Supplies,Central,34.65
Technology,Central,85.79
Technology,Central,360.4
Furniture,Central,32.45
Office Supplies,Central,82.97
Technology,Central,1328.52
Furniture,Central,772.22
Office Supplies,Central,99.17
Office Supplies,Central,205.36
Technology,Central,745.91
Technology,West,120.68
Furniture,West,11.7
Office Supplies,East,17.61
Office Supplies,East,27.3
Furniture,East,64.75
Office Supplies,East,62.98
Furniture,East,2280.34
Office Supplies,East,21.46
Technology,East,60.41
Office Supplies,East,21.2
Technology,East,173.32
Office Supplies,East,42.29
Technology,East,485.05
Technology,East,1924.59
Furniture,East,497.42
Office Supplies,East,603.03
Office Supplies,East,429.3
Furniture,East,304.09
Office Supplies,East,36.92
Furniture,East,1545.11
Office Supplies,East,68.71
Office Supplies,Central,600.59
Office Supplies,Central,85.69
Office Supplies,Central,1678.73
Office Supplies,Central,117.3
Furniture,Central,12.74
Office Supplies,West,14.18
Technology,West,212.55
Furniture,West,89.73
Office Supplies,West,58.92
Office Supplies,West,53.56
Office Supplies,West,189.35
Office Supplies,West,1070.01
Technology,West,443.08
Office Supplies,West,56.23
Office Supplies,West,29.61
Office Supplies,West,130.26
Technology,West,217.6
Office Supplies,West,34.25
Technology,West,730.37
Office Supplies,Central,26.31
Technology,Central,550.02
Technology,Central,97.45
Office Supplies,Central,16.97
Office Supplies,Central,93.92
Office Supplies,Central,16.53
Technology,Central,2126.5
Furniture,Central,289.36
Furniture,West,1734.25
Technology,West,197.72
Office Supplies,East,17.39
Furniture,East,105.09
Office Supplies,East,73.67
Office Supplies,East,20.66
Furniture,South,450.49
Office Supplies,South,52.73
Technology,South,1214.63
Furniture,West,95.48
Office Supplies,West,157.74
Technology,Central,17.19
Technology,Central,1195.32
Office Supplies,Central,7.66
Office Supplies,Central,200.29
Office Supplies,Central,58.8
Furniture,Central,120.47
Office Supplies,Central,1599.96
Office Supplies,Central,197.59
Technology,Central,33.04
Office Supplies,Central,27.45
Office Supplies,Central,68.66
Office Supplies,Central,36.56
Technology,West,4775.11
Technology,West,230.29
Office Supplies,West,530.33
Furniture,West,120.04
Office Supplies,West,89.46
Office Supplies,Central,349.34
Furniture,Central,105.05
Office Supplies,Central,14.66
Office Supplies,Central,36.48
Furniture,Central,400.78
Office Supplies,West,57.41
Technology,West,350.03
Office Supplies,West,19.63
Technology,West,1086.08
Office Supplies,West,3766.84
Furniture,West,2809.87
Office Supplies,West,79.93
Technology,West,873.18
Technology,West,178.6
Technology,West,1508.67
Furniture,West,122.48
Office Supplies,West,63.08
Office Supplies,South,168.44
Technology,Central,83.26
Furniture,Central,1046.04
Technology,Central,836.77
Furniture,Central,3555.12
Furniture,South,798.69
Technology,South,792.11
Office Supplies,South,28.73
Office Supplies,South,67.71
Technology,South,146.65
Office Supplies,South,47.55
Furniture,South,205.14
Office Supplies,South,10.59
Technology,South,1304.9
Office Supplies,Central,109.74
Technology,Central,1543.55
Office Supplies,Central,204.67
Furniture,Central,128.95
Office Supplies,Central,58.04
Office Supplies,Central,274.93
Office Supplies,Central,19.11
Technology,Central,2079.67
Technology,Central,458.25
Furniture,Central,104.62
Furniture,Central,5003.14
Office Supplies,Central,203.59
Furniture,West,1332.82
Technology,West,174.1
Technology,West,2357.17
Office Supplies,West,22.23
Technology,West,1613.55
Technology,West,367.35
Technology,West,103.17
Office Supplies,West,45
Office Supplies,East,34.64
Technology,East,501.58
Furniture,East,56.08
Furniture,East,410.25
Furniture,East,136.01
Office Supplies,East,150.48
Office Supplies,East,38.79
Technology,South,52.47
Technology,South,22.62
Office Supplies,South,63.45
Office Supplies,South,83.49
Office Supplies,South,45.81
Office Supplies,South,475.61
Furniture,South,240.63
Office Supplies,West,26.38
Office Supplies,West,7922.31
Office Supplies,West,111.78
Furniture,East,1576.52
Technology,East,57.96
Office Supplies,East,214.48
Office Supplies,East,110.02
Furniture,East,1483.07
Technology,East,284.88
Furniture,East,304.34
Furniture,East,559.62
Office Supplies,East,1329.93
Office Supplies,East,398.35
Office Supplies,East,6.75
Office Supplies,East,1851.62
Office Supplies,East,126
Technology,East,348.33
Office Supplies,East,99.43
Technology,Central,1300.81
Office Supplies,Central,67.86
Office Supplies,Central,747.28
Technology,Central,2446.89
Technology,Central,2379.1
Office Supplies,West,18.67
Furniture,West,210.77
Office Supplies,West,209.12
Furniture,West,1287.17
Office Supplies,West,46.17
Office Supplies,West,62.5
Technology,West,1283.02
Furniture,West,85.77
Technology,West,579.55
Technology,West,1734.55
Office Supplies,West,51.03
Office Supplies,West,264
Office Supplies,West,228.02
Furniture,West,1505.99
Technology,South,899.81
Office Supplies,South,39.88
Technology,South,19.54
Office Supplies,South,29.23
Office Supplies,South,100.12
Office Supplies,South,68.46
Furniture,South,885.23
Office Supplies,South,836.47
Office Supplies,South,189.83
Office Supplies,South,169.48
Office Supplies,South,250
Technology,South,5060.79
Technology,South,6814.28
Furniture,South,343.07
Office Supplies,South,204.11
Technology,South,2434.12
Technology,South,78.17
Office Supplies,South,131.52
Office Supplies,South,393.81
Technology,South,3449.26
Office Supplies,South,1055.98
Office Supplies,South,912.06
Furniture,South,5689.28
Furniture,South,5516.44
Furniture,West,783.96
Office Supplies,West,12.77
Office Supplies,East,61.52
Office Supplies,East,8.3
Office Supplies,East,12.55
Office Supplies,East,26.91
Technology,East,129.73
Office Supplies,East,33.17
Office Supplies,East,4.57
Technology,East,416.95
Office Supplies,East,18.71
Furniture,East,771.99
Office Supplies,Central,40.95
Furniture,Central,1155.73
Technology,Central,33.45
Furniture,Central,680.71
Office Supplies,Central,224.08
Technology,Central,125.97
Office Supplies,Central,12.13
Office Supplies,Central,45.61
Office Supplies,Central,26.57
Technology,Central,29.97
Technology,Central,192.3
Technology,Central,748.1
Furniture,Central,282.97
Office Supplies,Central,328.13
Technology,Central,1925.68
Furniture,Central,796.89
Technology,West,102.54
Office Supplies,West,14.41
Office Supplies,West,72.94
Technology,West,341.59
Furniture,West,4996.96
Office Supplies,West,754.81
Office Supplies,West,18.88
Office Supplies,West,98.41
Office Supplies,West,93.68
Office Supplies,West,1901.37
Office Supplies,West,360.64
Office Supplies,West,63.8
Technology,East,266.66
Furniture,East,395.61
Office Supplies,East,2057.87
Office Supplies,East,357.74
Furniture,East,103.88
Office Supplies,East,29.22
Office Supplies,East,10.08
Furniture,East,1810.18
Technology,East,7386.29
Technology,Central,134.56
Furniture,Central,1068.45
Office Supplies,Central,5371.4
Office Supplies,Central,126.81
Technology,East,729.33
Furniture,East,2151.35
Technology,East,1121.39
Furniture,East,4431.48
Office Supplies,East,492.18
Technology,East,540.09
Office Supplies,East,85.07
Furniture,East,4179.68
Office Supplies,East,66.04
Technology,East,70.16
Technology,East,1240.57
Office Supplies,East,81.85
Furniture,East,1355.05
Office Supplies,East,87.04
Office Supplies,East,206.1
Office Supplies,East,117.91
Furniture,East,2103.2
Technology,East,923.29
Technology,East,483.05
Office Supplies,East,370.62
Furniture,East,808.96
Technology,West,280.62
Furniture,West,18407.67
Office Supplies,West,812.96
Office Supplies,West,471.62
Office Supplies,West,1968.73
Technology,West,3825.05
Technology,West,1964.4
Office Supplies,West,346.83
Furniture,West,16718.7
Office Supplies,West,318.32
Furniture,West,5277.58
Office Supplies,West,1451.6
Technology,West,3008.5
Furniture,West,8246.86
Office Supplies,West,304.65
Office Supplies,West,231.13
Technology,West,5546.06
Technology,West,2700.43
Furniture,West,9464.39
Technology,West,4485.54
Furniture,West,3438.06
Office Supplies,West,867.22
Office Supplies,West,110.21
Office Supplies,West,67.1
Technology,West,78.82
Furniture,West,179.64
Office Supplies,West,104.28
Office Supplies,West,588.55
Office Supplies,West,226.81
Furniture,West,3076.1
Office Supplies,West,33.62
Technology,West,11055.12
Office Supplies,West,119.38
Office Supplies,Central,3206.94
Office Supplies,Central,285.67
Office Supplies,Central,84.95
Technology,East,43.08
Furniture,West,66.55
Office Supplies,West,103.49
Office Supplies,West,192.18
Furniture,West,1475.58
Office Supplies,West,562.88
Technology,East,374.38
Office Supplies,East,44.47
Technology,East,89.76
Office Supplies,East,264.34
Office Supplies,Central,36.74
Office Supplies,Central,426.6
Technology,Central,838.18
Technology,Central,13327.5
Office Supplies,Central,325.97
Technology,Central,28.46
Furniture,Central,249.95
Office Supplies,Central,204.3
Furniture,Central,1719.45
Technology,Central,89.11
Technology,Central,160.71
Furniture,Central,478.61
Furniture,East,1170.21
Technology,East,3309.23
Technology,East,243.32
Office Supplies,East,1066.68
Technology,East,4729.71
Furniture,West,3825.32
Furniture,West,8.53
Furniture,West,502.35
Office Supplies,West,19.8
Technology,West,1135.17
Office Supplies,West,19.9
Furniture,West,3894.82
Technology,West,7851.91
Office Supplies,West,68.08
Technology,West,491.89
Technology,West,5497.37
Office Supplies,West,27.83
Furniture,West,246.2
Office Supplies,East,40.3
Furniture,East,111.88
Office Supplies,East,49.02
Office Supplies,East,26.38
Technology,East,631.51
Office Supplies,East,9.41
Technology,East,815.75
Office Supplies,South,73.97
Technology,South,5008.76
Office Supplies,South,13.53
Office Supplies,South,173.97
Furniture,South,511.35
Technology,South,14642.66
Technology,South,3204.73
Furniture,East,111.86
Office Supplies,East,18.49
Technology,East,1226.64
Office Supplies,East,43.49
Technology,East,3622.93
Office Supplies,East,13.53
Office Supplies,South,212.89
Furniture,South,5555.6
Office Supplies,South,292.49
Office Supplies,South,131.72
Furniture,South,40136.93
Office Supplies,South,11938.4
Office Supplies,South,305.12
Office Supplies,South,374.26
Office Supplies,East,31.5
Office Supplies,East,55.54
Furniture,East,1440.34
Office Supplies,East,67.5
Furniture,East,10034.23
Office Supplies,East,3581.52
Office Supplies,East,76.28
Office Supplies,East,96.58
Technology,West,84.76
Office Supplies,West,104.84
Office Supplies,West,181.66
Office Supplies,West,1171.67
Office Supplies,West,36.47
Technology,West,505.61
Office Supplies,West,917.56
Technology,West,12924.23
Office Supplies,West,92.52
Furniture,West,1714.93
Office Supplies,West,1.62
Office Supplies,West,874.4
Technology,West,106.65
Technology,West,346.99
Office Supplies,West,550.37
Technology,East,107.95
Furniture,East,81.12
Technology,East,733.05
Office Supplies,East,30.45
Office Supplies,West,75.24
Furniture,West,3664.71
Office Supplies,West,35.99
Technology,West,519.3
Technology,East,1116.28
Technology,East,819.95
Furniture,East,1418.97
Furniture,East,629.27
Technology,East,1259.4
Office Supplies,East,1967.98
Furniture,East,850.16
Furniture,West,394.1
Furniture,West,1269.37
Office Supplies,West,6.54
Office Supplies,West,10.6
Furniture,West,1706.04
Office Supplies,West,677
Technology,East,266.39
Office Supplies,East,51.82
Office Supplies,East,78.94
Furniture,Central,9539.6
Office Supplies,Central,109.86
Technology,Central,1426.51
Office Supplies,Central,537.22
Office Supplies,Central,343
Office Supplies,Central,1045.75
Furniture,Central,6445.84
Technology,Central,1561.22
Office Supplies,South,136.01
Office Supplies,South,85.75
Furniture,South,2331.9
Office Supplies,South,27.47
Technology,South,390.31
Office Supplies,South,257.41
Furniture,South,1623.05
Technology,South,375.4
Office Supplies,Central,460.87
Office Supplies,Central,9.66
Office Supplies,Central,105.69
Furniture,Central,1355.97
Office Supplies,Central,101.47
Office Supplies,Central,34.99
Technology,Central,393.63
Technology,Central,283.46
Furniture,Central,142.6
Office Supplies,Central,111.94
Furniture,Central,744.4
Office Supplies,Central,6.12
Technology,Central,2268.65
Furniture,Central,2832.68
Office Supplies,Central,394.51
Office Supplies,Central,61.28
Furniture,Central,1712.5
Office Supplies,Central,18.92
Office Supplies,Central,35.14
Office Supplies,Central,103.31
Furniture,Central,1103.06
Office Supplies,Central,25.61
Furniture,Central,768.44
Furniture,Central,895.53
Furniture,Central,5768.12
Furniture,Central,551.51
Furniture,Central,4910.72
Furniture,Central,5455.67
Furniture,Central,1352.95
Furniture,Central,125.35
Furniture,Central,174.37
Furniture,Central,180.29
Furniture,Central,2026.91
Furniture,Central,1259.92
Furniture,Central,231.65
Furniture,Central,151.46
Furniture,Central,478.8
Furniture,Central,3033.88
Furniture,Central,32510.21
Furniture,Central,3139.58
Furniture,Central,3670.98
Furniture,Central,14683.92
Furniture,Central,1894.45
Furniture,Central,604.61
Furniture,Central,1174.38
Furniture,Central,2254.48
Furniture,Central,236.35
Furniture,Central,131.27
Furniture,Central,928.92
Furniture,Central,326.72
Furniture,Central,724.61
Furniture,Central,1331.21
Furniture,Central,4375.13
Furniture,Central,112.28
Furniture,Central,412.08
Furniture,Central,367.27
Furniture,Central,369.34
Furniture,Central,2425.52
Furniture,Central,3247.32
Furniture,Central,105.98
Furniture,Central,1869.09
Furniture,Central,4713.21
Furniture,Central,1818.41
Furniture,Central,2208.6
Furniture,Central,6637.78
Furniture,Central,3274.5
Furniture,East,1607.81
Furniture,East,1553.72
Furniture,East,1170.61
Furniture,East,423.57
Furniture,East,29718.53
Furniture,East,488.98
Furniture,East,3596.03
Furniture,East,3902.09
Furniture,East,142.24
Furniture,East,1591.33
Furniture,East,5342.75
Furniture,East,2495.35
Furniture,East,110.75
Furniture,East,2949.44
Furniture,East,3995.25
Furniture,East,1969.31
Furniture,East,222.62
Furniture,East,1600.94
Furniture,East,7099.12
Furniture,East,468.18
Furniture,East,871.32
Furniture,East,1378.51
Furniture,East,1476.16
Furniture,East,482.73
Furniture,East,1834.37
Furniture,East,374.29
Furniture,East,256.41
Furniture,East,5226.72
Furniture,East,3341.96
Furniture,East,3053.38
Furniture,East,1687.66
Furniture,East,1470.94
Furniture,East,320.18
Furniture,East,277.71
Furniture,East,285.49
Furniture,East,1978.22
Furniture,East,129.88
Furniture,East,507.25
Furniture,East,313.63
Furniture,East,2920.42
Furniture,East,3921.22
Furniture,East,2215.93
Furniture,East,6329.61
Furniture,East,200.57
Furniture,East,379.8
Furniture,East,1148.09
Furniture,East,1828.22
Furniture,East,2011.32
Furniture,East,5086.08
Furniture,East,8676.63
Furniture,South,290.9
Furniture,South,1128.74
Furniture,South,163.23
Furniture,South,2983.03
Furniture,South,1088.26
Furniture,South,894.88
Furniture,South,1219.72
Furniture,South,605.82
Furniture,South,8127.55
Furniture,South,1224.1
Furniture,South,2849.64
Furniture,South,425.88
Furniture,South,4076.24
Furniture,South,343.61
Furniture,South,2674.61
Furniture,South,3506.78
Furniture,South,2307.26
Furniture,South,1987.71
Furniture,South,1358.02
Furniture,South,121.9
Furniture,South,3049.63
Furniture,South,592.79
Furniture,South,792.89
Furniture,South,974.14
Furniture,South,1343.22
Furniture,South,358.93
Furniture,South,1452.18
Furniture,South,166.16
Furniture,South,924.26
Furniture,South,3835.19
Furniture,South,2854.99
Furniture,South,511.25
Furniture,South,94.47
Furniture,South,1323.67
Furniture,South,7092.73
Furniture,South,1755.67
Furniture,South,4631.59
Furniture,South,1502.79
Furniture,South,958.46
Furniture,South,759.6
Furniture,South,249.25
Furniture,South,2861.53
Furniture,West,1214.76
Furniture,West,4319.87
Furniture,West,67.96
